Neighborhood,Building.Classification,Total.Units,Year.Built,Gross.SqFt,Estimated.Gross.Income,Gross.Income.per.SqFt,Estimated.Expense,Expense.per.SqFt,Net.Operating.Income,Full.Market.Value,Market.Value.per.SqFt,Boro
INWOOD,R4-CONDOMINIUM,89,1925,76970,1029089,13.37,525705,6.83,503384,3338998,43.38,Manhattan
INWOOD,R4-CONDOMINIUM,12,2006,10950,236520,21.6,115961,10.59,120559,884000,80.73,Manhattan
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,124,1913,227916,5150902,22.6,1802816,7.91,3348086,23759904,104.25,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,13,2001,24672,543031,22.01,222643,9.02,320388,2346000,95.09,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,69,2006,78352,1739414,22.2,608795,7.77,1130619,8488003,108.33,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,58,1904,52530,1021183,19.44,462789,8.81,558394,4003003,76.2,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,13,2007,20085,442071,22.01,154655,7.7,287416,2107998,104.95,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,87,1910,158053,3571998,22.6,1393079,8.81,2178919,15924001,100.75,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,21,1910,23150,581065,25.1,182191,7.87,398874,2896003,125.1,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,31,1899,41476,912887,22.01,319510,7.7,593377,4344999,104.76,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,259,1916,375000,6915000,18.44,3111750,8.3,3803250,25821990,68.86,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,56,2006,58066,1354680,23.33,473819,8.16,880861,6046006,104.12,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,79,2006,87554,1978720,22.6,577856,6.6,1400864,10238001,116.93,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,266,2006,301131,6805561,22.6,1987465,6.6,4818096,35211998,116.93,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,37,1920,35464,780563,22.01,232998,6.57,547565,4009999,113.07,Brooklyn
DOWNTOWN-FULTON FERRY,R4-CONDOMINIUM,31,2006,35389,778912,22.01,232506,6.57,546406,3765999,106.42,Brooklyn
DOWNTOWN-METROTECH,R4-CONDOMINIUM,59,NA,54200,1619496,29.88,644438,11.89,975058,7305002,134.78,Brooklyn
DOWNTOWN-METROTECH,R4-CONDOMINIUM,306,2005,271963,8025628,29.51,2404153,8.84,5621475,42149030,154.98,Brooklyn
DOWNTOWN-FULTON MALL,R4-CONDOMINIUM,99,2003,73232,2122996,28.99,636899,8.7,1486097,11155002,152.32,Brooklyn
BOERUM HILL,R4-CONDOMINIUM,50,2007,56769,1324988,23.34,409872,7.22,915116,6677002,117.62,Brooklyn
BOERUM HILL,R2-CONDOMINIUM,9,1900,8000,176080,22.01,81520,10.19,94560,694999,86.87,Brooklyn
BOERUM HILL,R4-CONDOMINIUM,21,NA,21046,408292,19.4,121834,5.79,286458,2053999,97.6,Brooklyn
BOERUM HILL,R2-CONDOMINIUM,39,1990,42550,936526,22.01,279554,6.57,656972,4811001,113.07,Brooklyn
BOERUM HILL,R4-CONDOMINIUM,71,2006,70037,1541514,22.01,460143,6.57,1081371,7919009,113.07,Brooklyn
BOERUM HILL,R2-CONDOMINIUM,11,1922,12998,310002,23.85,148801,11.45,161201,1174000,90.32,Brooklyn
BOERUM HILL,R2-CONDOMINIUM,15,2005,19605,381121,19.44,152448,7.78,228673,1639001,83.6,Brooklyn
BOERUM HILL,R2-CONDOMINIUM,1,1910,6966,81015,11.63,42128,6.05,38887,250000,35.89,Brooklyn
BOERUM HILL,R2-CONDOMINIUM,22,2002,26677,587161,22.01,175268,6.57,411893,3015999,113.06,Brooklyn
BOERUM HILL,R2-CONDOMINIUM,23,2006,29086,565432,19.44,226173,7.78,339259,2432001,83.61,Brooklyn
BROOKLYN HEIGHTS,R4-CONDOMINIUM,57,1910,52396,1153236,22.01,344242,6.57,808994,5862995,111.9,Brooklyn
BROOKLYN HEIGHTS,R4-CONDOMINIUM,56,1910,74131,1983746,26.76,714149,9.63,1269597,9177007,123.79,Brooklyn
BROOKLYN HEIGHTS,R9-CONDOMINIUM,23,1900,25230,556826,22.07,228299,9.05,328527,2467000,97.78,Brooklyn
BROOKLYN HEIGHTS,R4-CONDOMINIUM,438,2008,628669,15886466,25.27,5004205,7.96,10882261,78988986,125.64,Brooklyn
BROOKLYN HEIGHTS,R4-CONDOMINIUM,24,NA,43181,410220,9.5,91544,2.12,318676,3151456,72.98,Brooklyn
BROOKLYN HEIGHTS,R2-CONDOMINIUM,12,1900,9207,236896,25.73,86467,9.39,150429,1089999,118.39,Brooklyn
BROOKLYN HEIGHTS,R4-CONDOMINIUM,11,2001,21259,467911,22.01,139672,6.57,328239,2403998,113.08,Brooklyn
BROOKLYN HEIGHTS,R4-CONDOMINIUM,33,1921,32500,715325,22.01,257517,7.92,457808,3352998,103.17,Brooklyn
DOWNTOWN-FULTON MALL,R4-CONDOMINIUM,299,1926,324465,8552897,26.36,3506688,10.81,5046209,36510998,112.53,Brooklyn
DOWNTOWN-FULTON MALL,R4-CONDOMINIUM,19,NA,5520,19706,3.57,5354,0.97,14352,88999,16.12,Brooklyn
BROOKLYN HEIGHTS,R2-CONDOMINIUM,8,1925,5239,152141,29.04,58258,11.12,93883,705001,134.57,Brooklyn
BROOKLYN HEIGHTS,R2-CONDOMINIUM,2,1900,3170,75319,23.76,32366,10.21,42953,313000,98.74,Brooklyn
BOERUM HILL,R4-CONDOMINIUM,321,2005,248762,7482761,30.08,2850813,11.46,4631948,34691000,139.45,Brooklyn
BOERUM HILL,R2-CONDOMINIUM,56,1916,68330,1628987,23.84,667885,9.77,961102,6999002,102.43,Brooklyn
BOERUM HILL,R4-CONDOMINIUM,14,1910,19388,426730,22.01,127379,6.57,299351,2192000,113.06,Brooklyn
COBBLE HILL,R9-CONDOMINIUM,47,1900,36858,963100,26.13,385535,10.46,577565,8293000,225,Brooklyn
COBBLE HILL,R2-CONDOMINIUM,20,1900,9924,234703,23.65,55376,5.58,179327,1275982,128.58,Brooklyn
COBBLE HILL,R9-CONDOMINIUM,32,NA,38705,972270,25.12,395178,10.21,577092,4203000,108.59,Brooklyn
COBBLE HILL,R2-CONDOMINIUM,59,2004,84695,1704063,20.12,528260,6.24,1175803,8405998,99.25,Brooklyn
COBBLE HILL-WEST,R4-CONDOMINIUM,3,2009,61991,991236,15.99,346933,5.6,644303,4361043,70.35,Brooklyn
COBBLE HILL-WEST,R4-CONDOMINIUM,12,NA,14291,281676,19.71,126761,8.87,154915,1155002,80.82,Brooklyn
COBBLE HILL-WEST,R2-CONDOMINIUM,36,NA,41786,806470,19.3,303784,7.27,502686,3605003,86.27,Brooklyn
COBBLE HILL-WEST,R4-CONDOMINIUM,13,2006,17463,384361,22.01,136211,7.8,248150,1817003,104.05,Brooklyn
COBBLE HILL-WEST,R4-CONDOMINIUM,70,1921,71212,1384361,19.44,567588,7.97,816773,5070988,71.21,Brooklyn
COBBLE HILL-WEST,R4-CONDOMINIUM,70,1917,84000,1632960,19.44,734832,8.75,898128,6439004,76.65,Brooklyn
COBBLE HILL-WEST,R4-CONDOMINIUM,71,1930,79058,1740067,22.01,713427,9.02,1026640,7518001,95.09,Brooklyn
COBBLE HILL,R2-CONDOMINIUM,34,1922,36973,695092,18.8,312791,8.46,382301,2747002,74.3,Brooklyn
COBBLE HILL,R4-CONDOMINIUM,60,1825,52529,969160,18.45,409726,7.8,559434,4011002,76.36,Brooklyn
COBBLE HILL-WEST,R2-CONDOMINIUM,10,1986,8888,186737,21.01,84080,9.46,102657,751999,84.61,Brooklyn
COBBLE HILL-WEST,R4-CONDOMINIUM,20,2000,24122,530925,22.01,238916,9.9,292009,2138000,88.63,Brooklyn
CARROLL GARDENS,R2-CONDOMINIUM,26,1890,20000,381000,19.05,177400,8.87,203600,1461004,73.05,Brooklyn
COBBLE HILL-WEST,R4-CONDOMINIUM,13,2005,15394,338822,22.01,138917,9.02,199905,1463999,95.1,Brooklyn
COBBLE HILL-WEST,R9-CONDOMINIUM,14,NA,9393,176588,18.8,90943,9.68,85645,617000,65.69,Brooklyn
CARROLL GARDENS,R4-CONDOMINIUM,40,2004,56542,1244489,22.01,472906,8.36,771583,5524001,97.7,Brooklyn
CARROLL GARDENS,R2-CONDOMINIUM,15,1900,13201,248179,18.8,127812,9.68,120367,867000,65.68,Brooklyn
BOERUM HILL,R2-CONDOMINIUM,20,2004,32490,699835,21.54,216949,6.68,482886,2873002,88.43,Brooklyn
BOERUM HILL,R4-CONDOMINIUM,42,1915,49690,1082248,21.78,551946,11.11,530302,3884001,78.16,Brooklyn
BOERUM HILL,R2-CONDOMINIUM,13,NA,20037,484495,24.18,232558,11.61,251937,1834999,91.58,Brooklyn
BOERUM HILL,R2-CONDOMINIUM,48,1910,63000,1216530,19.31,425786,6.76,790744,5670000,90,Brooklyn
CARROLL GARDENS,R4-CONDOMINIUM,6,2000,6652,129315,19.44,61664,9.27,67651,456998,68.7,Brooklyn
CARROLL GARDENS,R4-CONDOMINIUM,36,2007,25047,584597,23.34,204609,8.17,379988,2771999,110.67,Brooklyn
GOWANUS,R2-CONDOMINIUM,9,NA,5763,121715,21.12,48686,8.45,73029,537000,93.18,Brooklyn
CARROLL GARDENS,R4-CONDOMINIUM,26,2000,33198,645369,19.44,225879,6.8,419490,3012003,90.73,Brooklyn
CARROLL GARDENS,R2-CONDOMINIUM,2,1900,1954,50824,26.01,19313,9.88,31511,229000,117.2,Brooklyn
GOWANUS,R4-CONDOMINIUM,55,1938,54818,1065662,19.44,508163,9.27,557499,3997000,72.91,Brooklyn
CARROLL GARDENS,R2-CONDOMINIUM,12,NA,10604,227456,21.45,93257,8.79,134199,984000,92.8,Brooklyn
CARROLL GARDENS,R4-CONDOMINIUM,12,NA,14037,272879,19.44,122796,8.75,150083,1076001,76.65,Brooklyn
CARROLL GARDENS,R4-CONDOMINIUM,124,2006,133465,2945573,22.07,1053042,7.89,1892531,13859002,103.84,Brooklyn
CARROLL GARDENS,R4-CONDOMINIUM,25,2005,24769,545166,22.01,162732,6.57,382434,2800999,113.08,Brooklyn
SUNSET PARK,R2-CONDOMINIUM,23,1930,10247,164669,16.07,69029,6.74,95640,692003,67.53,Brooklyn
SUNSET PARK,R2-CONDOMINIUM,14,1995,10000,185000,18.5,82300,8.23,102700,743002,74.3,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,10,2004,16012,352424,22.01,144494,9.02,207930,1528000,95.43,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,12,2007,16316,294341,18.04,138360,8.48,155981,1180000,72.32,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,31,2007,23034,449854,19.53,192334,8.35,257520,1846002,80.14,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,54,1931,54770,754731,13.78,376270,6.87,378461,2016994,36.83,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,9,2008,8171,191610,23.45,78442,9.6,113168,828001,101.33,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,36,NA,32805,484858,14.78,278186,8.48,206672,1426002,43.47,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,25,2006,25600,378368,14.78,197120,7.7,181248,1252989,48.94,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,18,2006,10819,175160,16.19,83198,7.69,91962,626003,57.86,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,10,2005,8984,173840,19.35,75016,8.35,98824,708998,78.92,Brooklyn
BUSH TERMINAL,R2-CONDOMINIUM,8,2009,9894,254672,25.74,164834,16.66,89838,603000,60.95,Brooklyn
SUNSET PARK,R2-CONDOMINIUM,13,2004,12334,245447,19.9,90655,7.35,154792,1135999,92.1,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,13,2004,13070,300610,23,108220,8.28,192390,1383003,105.82,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,11,2004,12090,247241,20.45,98896,8.18,148345,1086001,89.83,Brooklyn
SUNSET PARK,R2-CONDOMINIUM,38,1904,47862,1053443,22.01,421377,8.8,632066,4628999,96.72,Brooklyn
SUNSET PARK,R2-CONDOMINIUM,14,2007,18855,364844,19.35,126517,6.71,238327,1707999,90.59,Brooklyn
SUNSET PARK,R2-CONDOMINIUM,16,2006,12490,242806,19.44,113035,9.05,129771,891917,71.41,Brooklyn
WINDSOR TERRACE,R4-CONDOMINIUM,35,2006,36872,738177,20.02,332217,9.01,405960,2957002,80.2,Brooklyn
WINDSOR TERRACE,R2-CONDOMINIUM,18,2006,17983,306790,17.06,122716,6.82,184074,1345000,74.79,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,10,2008,11633,226146,19.44,103185,8.87,122961,883000,75.9,Brooklyn
SUNSET PARK,R2-CONDOMINIUM,8,2006,8400,152880,18.2,53676,6.39,99204,729000,86.79,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,15,2008,24043,433736,18.04,154596,6.43,279140,2044001,85.01,Brooklyn
SUNSET PARK,R2-CONDOMINIUM,16,2006,12950,257705,19.9,94535,7.3,163170,1196994,92.43,Brooklyn
SUNSET PARK,R2-CONDOMINIUM,16,2006,12930,264419,20.45,105768,8.18,158651,1164000,90.02,Brooklyn
SUNSET PARK,R4-CONDOMINIUM,12,2002,10194,196642,19.29,78698,7.72,117944,848001,83.19,Brooklyn
BOROUGH PARK,R2-CONDOMINIUM,16,1930,13180,246202,18.68,110844,8.41,135358,903000,68.51,Brooklyn
BOROUGH PARK,R2-CONDOMINIUM,16,1987,9903,201328,20.33,70465,7.12,130863,935002,94.42,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,16,2004,21829,501194,22.96,175418,8.04,325776,1937998,88.78,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,8,NA,5085,149245,29.35,63056,12.4,86189,622002,122.32,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,24,1986,20750,381593,18.39,171717,8.28,209876,1533000,73.88,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,47,1925,68505,1507795,22.01,618196,9.02,889599,6515001,95.1,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,36,1922,39656,745136,18.79,366421,9.24,378715,2721000,68.62,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,10,1920,27213,511332,18.79,246550,9.06,264782,1902001,69.89,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,22,NA,35741,691588,19.35,242056,6.77,449532,3223002,90.18,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,36,1990,38430,747079,19.44,306302,7.97,440777,3159997,82.23,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,12,NA,13731,239331,17.43,102845,7.49,136486,984999,71.74,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,38,NA,49768,1029202,20.68,421973,8.48,607229,4461003,89.64,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,11,1931,9102,179947,19.77,73778,8.11,106169,760000,83.5,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,14,2001,14976,318090,21.24,141673,9.46,176417,1294000,86.4,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,30,1915,20202,400606,19.83,172929,8.56,227677,1528986,75.68,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,18,2003,15740,305986,19.44,107095,6.8,198891,1425999,90.6,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,8,2004,13361,380254,28.46,174094,13.03,206160,1488998,111.44,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,32,2008,40038,799158,19.96,336720,8.41,462438,3308002,82.62,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,40,1930,36669,752081,20.51,308353,8.41,443728,3168001,86.39,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,11,2008,23222,511116,22.01,178891,7.7,332225,2432999,104.77,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,36,NA,48738,947467,19.44,331613,6.8,615854,4415002,90.59,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,46,2004,94982,1688780,17.78,711415,7.49,977365,7047000,74.19,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,30,2004,30802,677952,22.01,202369,6.57,475583,3483001,113.08,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,68,NA,54122,1161458,21.46,406510,7.51,754948,5536000,102.29,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,113,2006,115310,2474700,21.46,866145,7.51,1608555,12073993,104.71,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,2,NA,2050,72058,35.15,29930,14.6,42128,312000,152.2,Brooklyn
GOWANUS,R4-CONDOMINIUM,60,2009,51102,1061900,20.78,371665,7.27,690235,5180998,101.39,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,16,2004,21599,452499,20.95,167824,7.77,284675,2089998,96.76,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,19,1914,15637,319777,20.45,189677,12.13,130100,868998,55.57,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,131,1920,37880,812905,21.46,333291,8.8,479614,3517000,92.85,Brooklyn
PARK SLOPE SOUTH,R4-CONDOMINIUM,12,1991,21200,472336,22.28,197011,9.29,275325,2016000,95.09,Brooklyn
PARK SLOPE SOUTH,R4-CONDOMINIUM,15,NA,17208,356722,20.73,167434,9.73,189288,1357001,78.86,Brooklyn
GOWANUS,R4-CONDOMINIUM,7,2005,6570,127721,19.44,60904,9.27,66817,480000,73.06,Brooklyn
PARK SLOPE SOUTH,R2-CONDOMINIUM,18,1925,19844,493322,24.86,202607,10.21,290715,2118002,106.73,Brooklyn
PARK SLOPE SOUTH,R4-CONDOMINIUM,16,1931,22618,497822,22.01,213966,9.46,283856,2079000,91.92,Brooklyn
PARK SLOPE SOUTH,R4-CONDOMINIUM,8,1931,8416,185236,22.01,79615,9.46,105621,776001,92.21,Brooklyn
PARK SLOPE SOUTH,R4-CONDOMINIUM,8,2007,6625,145816,22.01,62673,9.46,83143,611000,92.23,Brooklyn
PARK SLOPE SOUTH,R2-CONDOMINIUM,16,2003,19350,411575,21.27,164630,8.51,246945,1812000,93.64,Brooklyn
PARK SLOPE SOUTH,R4-CONDOMINIUM,20,2008,25216,555004,22.01,194251,7.7,360753,2642003,104.77,Brooklyn
PARK SLOPE SOUTH,R4-CONDOMINIUM,45,2005,54488,1151331,21.13,525809,9.65,625522,4590001,84.24,Brooklyn
PARK SLOPE SOUTH,R4-CONDOMINIUM,20,NA,27584,607124,22.01,248921,9.02,358203,2622999,95.09,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,16,1915,11732,253294,21.59,124114,10.58,129180,947000,80.72,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,22,2003,49210,924656,18.79,352344,7.16,572312,4113005,83.58,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,15,1900,10911,264592,24.25,119066,10.91,145526,1058995,97.06,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,27,2002,23280,534509,22.96,187078,8.04,347431,2386970,102.53,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,10,NA,6516,136250,20.91,61641,9.46,74609,548000,84.1,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,18,1921,13352,334334,25.04,162093,12.14,172241,1250999,93.69,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,42,1999,27200,667760,24.55,287137,10.56,380623,2766997,101.73,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,34,1920,56518,936503,16.57,421426,7.46,515077,3692997,65.34,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,37,1920,58100,858718,14.78,492688,8.48,366030,2525003,43.46,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,29,1910,23868,472825,19.81,165489,6.93,307336,2198990,92.13,Brooklyn
PARK SLOPE,R9-CONDOMINIUM,1,1931,4500,133245,29.61,50040,11.12,83205,625000,138.89,Brooklyn
PARK SLOPE,R4-CONDOMINIUM,24,2001,13057,281901,21.59,107122,8.2,174779,1206002,92.36,Brooklyn
PARK SLOPE,R2-CONDOMINIUM,15,NA,11800,265500,22.5,94046,7.97,171454,1178001,99.83,Brooklyn
PARK SLOPE SOUTH,R2-CONDOMINIUM,11,NA,7770,200078,25.75,90035,11.59,110043,793001,102.06,Brooklyn
PARK SLOPE SOUTH,R2-CONDOMINIUM,30,2004,34417,663216,19.27,232126,6.74,431090,3152998,91.61,Brooklyn
PARK SLOPE SOUTH,R2-CONDOMINIUM,12,2006,13550,329401,24.31,133061,9.82,196340,1436000,105.98,Brooklyn
CROWN HEIGHTS,R4-CONDOMINIUM,16,NA,14269,272395,19.09,137410,9.63,134985,969000,67.91,Brooklyn
CROWN HEIGHTS,R4-CONDOMINIUM,15,2005,19789,354223,17.9,170383,8.61,183840,1324999,66.96,Brooklyn
CROWN HEIGHTS,R4-CONDOMINIUM,10,2008,10313,193781,18.79,73841,7.16,119940,864000,83.78,Brooklyn
CROWN HEIGHTS,R4-CONDOMINIUM,18,2006,27168,510487,18.79,235275,8.66,275212,1982006,72.95,Brooklyn
PROSPECT HEIGHTS,R4-CONDOMINIUM,168,2002,230680,2645900,11.47,1137738,4.93,1508162,8447860,36.62,Brooklyn
PROSPECT HEIGHTS,R4-CONDOMINIUM,39,2005,72356,1455803,20.12,597661,8.26,858142,6134999,84.79,Brooklyn
PROSPECT HEIGHTS,R2-CONDOMINIUM,21,1930,33120,573638,17.32,257674,7.78,315964,2281001,68.87,Brooklyn
CROWN HEIGHTS,R4-CONDOMINIUM,18,2005,17209,345385,20.07,138154,8.03,207231,1487999,86.47,Brooklyn
PROSPECT HEIGHTS,R2-CONDOMINIUM,14,NA,24639,679297,27.57,251318,10.2,427979,2550999,103.54,Brooklyn
PROSPECT HEIGHTS,R2-CONDOMINIUM,48,2005,32139,810546,25.22,348387,10.84,462159,3353992,104.36,Brooklyn
PROSPECT HEIGHTS,R9-CONDOMINIUM,14,1910,8392,194191,23.14,77626,9.25,116565,849000,101.17,Brooklyn
CROWN HEIGHTS,R2-CONDOMINIUM,11,1931,8620,189726,22.01,75856,8.8,113870,834002,96.75,Brooklyn
CROWN HEIGHTS,R2-CONDOMINIUM,12,1987,22128,341214,15.42,169058,7.64,172156,1181001,53.37,Brooklyn
CROWN HEIGHTS,R4-CONDOMINIUM,22,1920,19525,259683,13.3,135504,6.94,124179,824001,42.2,Brooklyn
CROWN HEIGHTS,R2-CONDOMINIUM,16,1930,27429,408144,14.88,217786,7.94,190358,1312004,47.83,Brooklyn
CROWN HEIGHTS,R2-CONDOMINIUM,16,1922,40060,498346,12.44,263995,6.59,234351,1482001,36.99,Brooklyn
CROWN HEIGHTS,R2-CONDOMINIUM,48,1997,65071,1182991,18.18,566118,8.7,616873,4440000,68.23,Brooklyn
FLATBUSH-LEFFERTS GARDEN,R2-CONDOMINIUM,16,1916,17680,214282,12.12,85571,4.84,128711,817999,46.27,Brooklyn
FLATBUSH-NORTH,R4-CONDOMINIUM,13,2006,20260,322742,15.93,129097,6.37,193645,1420998,70.14,Brooklyn
FLATBUSH-NORTH,R4-CONDOMINIUM,21,2004,41697,672573,16.13,331908,7.96,340665,2249999,53.96,Brooklyn
FLATBUSH-NORTH,R4-CONDOMINIUM,50,NA,67889,1082151,15.94,518672,7.64,563479,3845000,56.64,Brooklyn
CROWN HEIGHTS,R2-CONDOMINIUM,15,2006,26660,332450,12.47,136305,5.11,196145,1314999,49.32,Brooklyn
CROWN HEIGHTS,R2-CONDOMINIUM,13,1906,8136,142705,17.54,70051,8.61,72654,524001,64.41,Brooklyn
CROWN HEIGHTS,R2-CONDOMINIUM,26,1921,35732,620308,17.36,291545,8.16,328763,2373004,66.41,Brooklyn
CROWN HEIGHTS,R4-CONDOMINIUM,95,2007,174796,3128848,17.9,1576660,9.02,1552188,11187994,64.01,Brooklyn
FLATBUSH-NORTH,R2-CONDOMINIUM,22,1925,30700,419362,13.66,231171,7.53,188191,1177008,38.34,Brooklyn
FLATBUSH-NORTH,R4-CONDOMINIUM,30,1993,30360,468151,15.42,231950,7.64,236201,1572990,51.81,Brooklyn
FLATBUSH-NORTH,R2-CONDOMINIUM,15,1990,15785,264714,16.77,127063,8.05,137651,996000,63.1,Brooklyn
FLATBUSH-NORTH,R4-CONDOMINIUM,30,1998,50668,754447,14.89,390144,7.7,364303,1996500,39.4,Brooklyn
OCEAN HILL,R2-CONDOMINIUM,12,1910,13640,161770,11.86,84120,6.17,77650,495996,36.36,Brooklyn
OCEAN HILL,R2-CONDOMINIUM,8,1910,7560,89662,11.86,48535,6.42,41127,263000,34.79,Brooklyn
OCEAN HILL,R2-CONDOMINIUM,3,1910,4500,53370,11.86,28890,6.42,24480,156999,34.89,Brooklyn
OCEAN HILL,R2-CONDOMINIUM,3,1910,4500,53370,11.86,28890,6.42,24480,156999,34.89,Brooklyn
OCEAN HILL,R2-CONDOMINIUM,6,1910,10140,120260,11.86,65099,6.42,55161,352998,34.81,Brooklyn
OCEAN HILL,R2-CONDOMINIUM,60,1992,53760,730598,13.59,374707,6.97,355891,2353997,43.79,Brooklyn
OCEAN HILL,R2-CONDOMINIUM,24,1906,32087,436062,13.59,228780,7.13,207282,1154998,36,Brooklyn
OCEAN HILL,R2-CONDOMINIUM,20,1995,25632,303996,11.86,164557,6.42,139439,803997,31.37,Brooklyn
OCEAN HILL,R2-CONDOMINIUM,15,1995,11050,166855,15.1,84422,7.64,82433,566999,51.31,Brooklyn
OCEAN HILL,R2-CONDOMINIUM,12,NA,15335,208403,13.59,106885,6.97,101518,672000,43.82,Brooklyn
OCEAN HILL,R2-CONDOMINIUM,40,1900,54600,683046,12.51,348353,6.38,334693,2242996,41.08,Brooklyn
BEDFORD STUYVESANT,R2-CONDOMINIUM,16,2005,15600,323076,20.71,149916,9.61,173160,1026999,65.83,Brooklyn
BEDFORD STUYVESANT,R2-CONDOMINIUM,24,1903,31793,491520,15.46,245760,7.73,245760,1684002,52.97,Brooklyn
BEDFORD STUYVESANT,R2-CONDOMINIUM,18,NA,22659,322891,14.25,161446,7.13,161445,1119000,49.38,Brooklyn
BEDFORD STUYVESANT,R4-CONDOMINIUM,6,NA,10288,162962,15.84,73353,7.13,89609,613002,59.58,Brooklyn
BEDFORD STUYVESANT,R4-CONDOMINIUM,1,2000,14647,314178,21.45,111317,7.6,202861,1490998,101.8,Brooklyn
BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2000,14869,282065,18.97,131888,8.87,150177,1077996,72.5,Brooklyn
BEDFORD STUYVESANT,R4-CONDOMINIUM,9,2004,8670,163256,18.83,75082,8.66,88174,634999,73.24,Brooklyn
BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2007,18266,378106,20.7,177710,9.73,200396,1472002,80.59,Brooklyn
BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2007,19028,393880,20.7,185124,9.73,208756,1533996,80.62,Brooklyn
BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2008,19030,393921,20.7,185143,9.73,208778,1533996,80.61,Brooklyn
BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2008,18158,375871,20.7,176659,9.73,199212,1463004,80.57,Brooklyn
BEDFORD STUYVESANT,R4-CONDOMINIUM,45,NA,36414,648169,17.8,313525,8.61,334644,2413001,66.27,Brooklyn
BEDFORD STUYVESANT,R4-CONDOMINIUM,10,2003,16833,299627,17.8,144932,8.61,154695,1116002,66.3,Brooklyn
BEDFORD STUYVESANT,R4-CONDOMINIUM,4,2003,5772,102742,17.8,49697,8.61,53045,383000,66.35,Brooklyn
